ID;LONGITUDE;LATITUDE;NOM DE L'AGENCE;DESCRIPTION;CATEGORIE D'AGENCE;PAYS;Ville;ADRESSE SUPPLEMENTAIRE;CODE POSTALE;TELEPHONE;FAX;EMAIL;HORAIRE OUVERTURE;OUVERT SAMEDI
1466;-8.506293;33.250496;EL JADIDA;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Offshore;France;Casablanca;82 avenue Hassan II;80000;05 23 35 45 19;05 23 35 45 93;example@mail.com;8h30 - 16h;Non
1467;-7.593409;33.595769;EMILE ZOLA;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Publique;Spain;Casablanca;Quartier la Gare  Angle Bd Emile Zola  Rue Douai et Rue Sijilmassa;80000;05 29 01 17 43;05 29 01 17 42;example@mail.com;8h30 - 16h;Non
1468;-8.007193;31.627843;Marrakech KAWKAB;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Prive;Morocco;Marrakech;22  rue Imam Chafii Harti - Gueliz;80000;05 24 43 33 09;05 24 43 33 15;example@mail.com;8h30 - 16h;Non
1469;-9.593881;30.414455;Agadir HASSAN II ;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Offshore;France;Agadir;1  et 2 galerie Al Inbiat avenue Hassan II;80000;05 28 82 67 53;05 28 82 67 52;example@mail.com;8h30 - 16h;Non
1470;-9.556845;30.408135;Agadir DAKHLA;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Publique;Spain;Agadir;149  Av. Hassan 1er  Dakhla.;80000;05 28 21 49 65;05 28 21 49 67;example@mail.com;8h30 - 16h;Non
1471;-7.991867;31.621576;Marrakech MEDINA;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Prive;Morocco;Marrakech;Rue Mly.Ismail - Immeuble des Héritiers Glaoui. Médina.;80000;05 24 38 85 70  ;05 24 39 13 94;example@mail.com;8h30 - 16h;Non
1472;-8.011436;31.623549;Marrakech HIVERNAGE;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Offshore;France;Marrakech;Résidence l'Hivernage  avenue de France;80000;05 24 43 39 42;05 24 43 39 53;example@mail.com;8h30 - 16h;Non
1473;-6.363466;32.332272;Agadir;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Publique;Spain;Agadir;Résidence Aïcha. Avenue Mohamed V;80000;05 29 80 11 51 à 55;05 29 80 11 50;example@mail.com;8h30 - 16h;Non
1474;-9.243332;32.296665;Agadir;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Prive;Morocco;Agadir;5  Rue de la Marne;80000;05 29 01 17 49;05 29 01 17 48 ;example@mail.com;8h30 - 16h;Non
1475;-4.999595;34.042223;Casablanca FLORENCE;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Offshore;France;Casablanca;Avenue Hassan II  Tour Al Wataniya;80000;05 35 94 16 34;05 35 94 16 36;example@mail.com;8h30 - 16h;Non
1476;-4.997733;34.035964;Casablanca MED V;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Publique;Spain;Casablanca;46  boulevard Mohammed V  Résidence Sara;80000;05 35 93 29 39;05 35 62 16 85;example@mail.com;8h30 - 16h;Non
1479;-5.548471;33.89702;Rabat;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Prive;Morocco;Rabat;20  boulevard Idriss II  Résidence Mimosa;80000;05 35 51 18 08;05 35 51 19 25;example@mail.com;8h30 - 16h;Non
1480;-1.919131;34.681261;Rabat;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Offshore;France;Rabat;17 rue Jazoulit;80000;05 36 70 31 32;05 36 70 31 28;example@mail.com;8h30 - 16h;Non
1481;-5.809214;35.773762;Rabat;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Publique;Spain;Rabat;137  avenue Prince Héritier;80000;05 39 32 54 47;05 39 32 52 58;example@mail.com;8h30 - 16h;Non
1482;-6.152312;35.196449;Rabat;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Prive;Morocco;Rabat;9  Place Libération. Rabat;80000;05 38 80 08 51;05 38 80 08 50;example@mail.com;8h30 - 16h;Non
1483;-5.340622;35.595352;Rabat;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Offshore;France;Rabat;73  Avenue des FAR  Tétouan;80000;05 39 70 90 80;05 39 71 92 32;example@mail.com;8h30 - 16h;Non
1484;-5.798271;35.745955;Rabat AL QODS;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Publique;Spain;Rabat;79 av Al Qods  Hay Al Majd. Lot 73;80000;05 38 80 04 04;05 38 80 04 01;example@mail.com;8h30 - 16h;Non
1485;-6.872517;33.95762;Rabat HAY RIAD;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Prive;Morocco;Rabat;Rés. Bachiri 1 Lot 30 N° 6 secteur 16 ;80000;05 37 56 93 40;05 37 56 47 16;example@mail.com;8h30 - 16h;Non
1487;-6.924648;33.917758;Casablanca;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Offshore;France;Casablanca;Lot Marie Idda 15 T192015 Al Alaouiyne Témara ;80000;05 37 61 69 90 ;05 37 61 24 51;example@mail.com;8h30 - 16h;Non
1488;-6.851038;33.998516;Rabat IBN SINA;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Publique;Spain;Rabat;13 bis  14 bis avenue Ibn Sina - Agdal;80000;05 37 77 07 06;05 37 77 07 30;example@mail.com;8h30 - 16h;Non
1489;-6.836994;34.022244;Allal Ben Abdellah;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Prive;Morocco;Rabat;65  Angle Allal Ben Abdellah et boulevard Hassan II;80000;05 37 26 22 16;05 37 26 02 30;example@mail.com;8h30 - 16h;Non
1490;-6.851091;34.012364;Rabat Hassan II Auto;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Offshore;France;Rabat;408  Résidence Tamesna - Angle Av Hassan II et Madagascar;80000;05 38 00 23 10 ;;example@mail.com;8h30 - 16h;Non
1491;-6.846505;33.998081;Rabat AV de France;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Publique;Spain;Rabat;29  avenue de France - Agdal;80000;05 37 68 28 28;05 37 68 61 21;example@mail.com;8h30 - 16h;Non
1492;-6.834869;34.015508;Rabat MED V;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Prive;Morocco;Rabat;5  Rue Bayt Lahm  Imm Baruk  avenue Mohammed V  1er étage (près de la gare Rabat ville);80000;05 37 20 83 83;05 37 70 62 25;example@mail.com;8h30 - 16h;Non
1493;-6.579341;34.262085;Casablanca;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Offshore;France;Casablanca;1  rue Omar Riffi;80000;05 37 37 33 21;05 37 37 32 90;example@mail.com;8h30 - 16h;Non
1494;-6.816888;34.041707;SALE;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer quis pharetra leo. Sed blandit blandit laoreet.;Publique;Spain;Casablanca;Av Mohamed VI  Résidence Diar 3 Immeuble 11  route de Kénitra;80000;05 37 84 91 00 ;05 37 78 14 01;example@mail.com;8h30 - 16h;Non
